,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Brain Stem,0.94,0.94,0.93,0.93,0.93,0.94,0.94,0.94,0.97,0.96,0.95,0.96,0.94,0.92,0.92,0.92,0.91,0.9,0.9,0.88,0.88,0.88,0.86,0.86,0.87,0.84,0.84,0.84
Cord PRV,1.05,1.05,1.03,1.03,1.05,1.05,1.05,1.03,1.02,1.02,1.02,1.02,1.02,1.0,1.0,1.0,1.0,1.05,1.03,0.98,1.01,1.01,1.0,1.01,0.96,0.96,1.01,1.0
Esophagus,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.88,0.88,0.87,0.87,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.82,0.82,0.82,0.81,0.81,0.8,0.8,0.79,0.8
Inner Ears,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.02,1.02,1.02,1.0,0.99,0.98,0.97,0.97,0.97,0.99,0.99,0.98,0.99,1.0,1.0,0.99,1.0,0.99,0.98,1.01
Larynx,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.63,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6
Len L,0.54,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.48,0.47,0.45,0.45,0.45,0.45,0.44,0.42,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36
Len R,0.57,0.57,0.56,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.51,0.51,0.48,0.48,0.48,0.48,0.47,0.45,0.42,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37
Mandible,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.64,0.62,0.62,0.62,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.58,0.58,0.58
Neck,1.39,1.39,1.37,1.38,1.38,1.39,1.4,1.41,1.4,1.39,1.4,1.42,1.41,1.4,1.39,1.4,1.4,1.42,1.41,1.4,1.39,1.4,1.4,1.39,1.38,1.37,1.35,1.4
Optic Chiasm,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.21,0.2,0.19,0.19,0.17,0.16,0.16
Optic Nerve L,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.64,0.64,0.61,0.61,0.62,0.58,0.57,0.57,0.57,0.56,0.48,0.44,0.42,0.38,0.37,0.3,0.28,0.24,0.24,0.23,0.22
Optic Nerve R,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.62,0.62,0.62,0.58,0.58,0.57,0.57,0.57,0.42,0.33,0.34,0.31,0.25,0.22,0.2,0.2,0.19,0.19,0.18
