,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Brain Stem,"[['type=mxd', 53.31]]","[['type=mxd', 53.31]]","[['type=mxd', 52.97]]","[['type=mxd', 53.2]]","[['type=mxd', 53.22]]","[['type=mxd', 53.32]]","[['type=mxd', 53.23]]","[['type=mxd', 53.45]]","[['type=mxd', 54.51]]","[['type=mxd', 53.77]]","[['type=mxd', 53.35]]","[['type=mxd', 53.46]]","[['type=mxd', 52.47]]","[['type=mxd', 50.99]]","[['type=mxd', 51.26]]","[['type=mxd', 51.09]]","[['type=mxd', 51.03]]","[['type=mxd', 50.16]]","[['type=mxd', 49.7]]","[['type=mxd', 49.41]]","[['type=mxd', 49.06]]","[['type=mxd', 48.99]]","[['type=mxd', 48.1]]","[['type=mxd', 48.19]]","[['type=mxd', 48.65]]","[['type=mxd', 47.48]]","[['type=mxd', 47.42]]","[['type=mxd', 47.1]]"
Cord PRV,"[['type=se', 29.98]]","[['type=se', 29.98]]","[['type=se', 29.7]]","[['type=se', 29.63]]","[['type=se', 29.81]]","[['type=se', 29.94]]","[['type=se', 29.76]]","[['type=se', 29.8]]","[['type=se', 29.95]]","[['type=se', 29.93]]","[['type=se', 29.83]]","[['type=se', 30.03]]","[['type=se', 29.46]]","[['type=se', 29.97]]","[['type=se', 30.02]]","[['type=se', 30.03]]","[['type=se', 29.85]]","[['type=se', 31.07]]","[['type=se', 30.13]]","[['type=se', 28.88]]","[['type=se', 29.67]]","[['type=se', 29.41]]","[['type=se', 29.13]]","[['type=se', 29.29]]","[['type=se', 28.29]]","[['type=se', 27.98]]","[['type=se', 29.12]]","[['type=se', 29.11]]"
Esophagus,"[['type=se', 37.13]]","[['type=se', 37.13]]","[['type=se', 36.98]]","[['type=se', 36.65]]","[['type=se', 36.55]]","[['type=se', 36.62]]","[['type=se', 37.36]]","[['type=se', 36.49]]","[['type=se', 36.4]]","[['type=se', 36.54]]","[['type=se', 36.22]]","[['type=se', 35.77]]","[['type=se', 36.08]]","[['type=se', 35.73]]","[['type=se', 36.03]]","[['type=se', 35.68]]","[['type=se', 35.76]]","[['type=se', 35.23]]","[['type=se', 34.89]]","[['type=se', 34.33]]","[['type=se', 33.95]]","[['type=se', 33.95]]","[['type=se', 33.87]]","[['type=se', 33.48]]","[['type=se', 33.33]]","[['type=se', 33.15]]","[['type=se', 32.88]]","[['type=se', 32.81]]"
Inner Ears,"[['type=mxd', 55.18]]","[['type=mxd', 55.18]]","[['type=mxd', 54.99]]","[['type=mxd', 55.13]]","[['type=mxd', 55.12]]","[['type=mxd', 55.25]]","[['type=mxd', 55.69]]","[['type=mxd', 55.68]]","[['type=mxd', 55.99]]","[['type=mxd', 55.8]]","[['type=mxd', 55.91]]","[['type=mxd', 54.94]]","[['type=mxd', 55.26]]","[['type=mxd', 54.59]]","[['type=mxd', 54.06]]","[['type=mxd', 53.94]]","[['type=mxd', 53.83]]","[['type=mxd', 54.64]]","[['type=mxd', 54.29]]","[['type=mxd', 54.16]]","[['type=mxd', 54.59]]","[['type=mxd', 54.92]]","[['type=mxd', 55.15]]","[['type=mxd', 54.52]]","[['type=mxd', 54.68]]","[['type=mxd', 54.66]]","[['type=mxd', 54.06]]","[['type=mxd', 55.34]]"
Larynx,"[['type=se', 37.16]]","[['type=se', 37.16]]","[['type=se', 37.18]]","[['type=se', 36.94]]","[['type=se', 36.75]]","[['type=se', 36.79]]","[['type=se', 37.37]]","[['type=se', 37.17]]","[['type=se', 37.17]]","[['type=se', 37.97]]","[['type=se', 37.51]]","[['type=se', 37.01]]","[['type=se', 38.36]]","[['type=se', 37.82]]","[['type=se', 38.23]]","[['type=se', 37.76]]","[['type=se', 38.09]]","[['type=se', 37.89]]","[['type=se', 37.74]]","[['type=se', 37.36]]","[['type=se', 37.26]]","[['type=se', 37.12]]","[['type=se', 37.08]]","[['type=se', 36.84]]","[['type=se', 36.88]]","[['type=se', 36.77]]","[['type=se', 36.58]]","[['type=se', 36.42]]"
Len L,"[['type=mxd', 5.12]]","[['type=mxd', 5.12]]","[['type=mxd', 5.06]]","[['type=mxd', 4.98]]","[['type=mxd', 4.91]]","[['type=mxd', 4.81]]","[['type=mxd', 4.78]]","[['type=mxd', 4.7]]","[['type=mxd', 4.66]]","[['type=mxd', 4.52]]","[['type=mxd', 4.54]]","[['type=mxd', 4.51]]","[['type=mxd', 4.27]]","[['type=mxd', 4.27]]","[['type=mxd', 4.28]]","[['type=mxd', 4.26]]","[['type=mxd', 4.23]]","[['type=mxd', 3.99]]","[['type=mxd', 3.77]]","[['type=mxd', 3.72]]","[['type=mxd', 3.66]]","[['type=mxd', 3.66]]","[['type=mxd', 3.67]]","[['type=mxd', 3.63]]","[['type=mxd', 3.61]]","[['type=mxd', 3.56]]","[['type=mxd', 3.51]]","[['type=mxd', 3.47]]"
Len R,"[['type=mxd', 5.26]]","[['type=mxd', 5.26]]","[['type=mxd', 5.23]]","[['type=mxd', 5.18]]","[['type=mxd', 5.14]]","[['type=mxd', 5.05]]","[['type=mxd', 5.02]]","[['type=mxd', 4.9]]","[['type=mxd', 4.86]]","[['type=mxd', 4.71]]","[['type=mxd', 4.73]]","[['type=mxd', 4.71]]","[['type=mxd', 4.45]]","[['type=mxd', 4.45]]","[['type=mxd', 4.46]]","[['type=mxd', 4.45]]","[['type=mxd', 4.42]]","[['type=mxd', 4.16]]","[['type=mxd', 3.91]]","[['type=mxd', 3.81]]","[['type=mxd', 3.74]]","[['type=mxd', 3.72]]","[['type=mxd', 3.7]]","[['type=mxd', 3.66]]","[['type=mxd', 3.65]]","[['type=mxd', 3.6]]","[['type=mxd', 3.55]]","[['type=mxd', 3.52]]"
Mandible,"[['type=se', 37.75]]","[['type=se', 37.75]]","[['type=se', 37.41]]","[['type=se', 37.32]]","[['type=se', 37.3]]","[['type=se', 37.45]]","[['type=se', 37.6]]","[['type=se', 36.9]]","[['type=se', 36.3]]","[['type=se', 36.11]]","[['type=se', 35.85]]","[['type=se', 34.86]]","[['type=se', 35.02]]","[['type=se', 34.24]]","[['type=se', 34.3]]","[['type=se', 34.25]]","[['type=se', 34.05]]","[['type=se', 33.83]]","[['type=se', 33.54]]","[['type=se', 33.3]]","[['type=se', 33.17]]","[['type=se', 33.02]]","[['type=se', 33.93]]","[['type=se', 33.56]]","[['type=se', 33.62]]","[['type=se', 33.48]]","[['type=se', 33.19]]","[['type=se', 33.19]]"
Neck,"[['type=se', 36.72]]","[['type=se', 36.72]]","[['type=se', 36.23]]","[['type=se', 35.84]]","[['type=se', 35.19]]","[['type=se', 34.9]]","[['type=se', 34.89]]","[['type=se', 34.69]]","[['type=se', 34.42]]","[['type=se', 34.26]]","[['type=se', 34.21]]","[['type=se', 34.51]]","[['type=se', 33.66]]","[['type=se', 33.77]]","[['type=se', 33.85]]","[['type=se', 33.9]]",,,,,,,,,,,,
Optic Chiasm,"[['type=mxd', 15.45]]","[['type=mxd', 15.45]]","[['type=mxd', 15.39]]","[['type=mxd', 15.32]]","[['type=mxd', 15.2]]","[['type=mxd', 15.09]]","[['type=mxd', 15.06]]","[['type=mxd', 14.98]]","[['type=mxd', 15.09]]","[['type=mxd', 14.5]]","[['type=mxd', 14.57]]","[['type=mxd', 14.61]]","[['type=mxd', 13.86]]","[['type=mxd', 13.74]]","[['type=mxd', 13.7]]","[['type=mxd', 13.69]]","[['type=mxd', 13.58]]","[['type=mxd', 12.82]]","[['type=mxd', 12.14]]","[['type=mxd', 11.75]]","[['type=mxd', 11.39]]","[['type=mxd', 11.25]]","[['type=mxd', 10.82]]","[['type=mxd', 10.39]]","[['type=mxd', 10.02]]","[['type=mxd', 9.39]]","[['type=mxd', 8.68]]","[['type=mxd', 8.65]]"
Optic Nerve L,"[['type=mxd', 36.1]]","[['type=mxd', 36.1]]","[['type=mxd', 36.05]]","[['type=mxd', 35.91]]","[['type=mxd', 35.68]]","[['type=mxd', 35.08]]","[['type=mxd', 35.27]]","[['type=mxd', 34.28]]","[['type=mxd', 34.32]]","[['type=mxd', 32.84]]","[['type=mxd', 33.21]]","[['type=mxd', 33.16]]","[['type=mxd', 31.69]]","[['type=mxd', 31.06]]","[['type=mxd', 30.81]]","[['type=mxd', 30.85]]","[['type=mxd', 30.66]]","[['type=mxd', 26.06]]","[['type=mxd', 24.07]]","[['type=mxd', 22.73]]","[['type=mxd', 20.1]]","[['type=mxd', 19.87]]","[['type=mxd', 16.05]]","[['type=mxd', 14.72]]","[['type=mxd', 12.74]]","[['type=mxd', 12.23]]","[['type=mxd', 11.71]]","[['type=mxd', 11.45]]"
Optic Nerve R,"[['type=mxd', 36.14]]","[['type=mxd', 36.14]]","[['type=mxd', 36.05]]","[['type=mxd', 35.91]]","[['type=mxd', 35.7]]","[['type=mxd', 35.59]]","[['type=mxd', 35.58]]","[['type=mxd', 34.7]]","[['type=mxd', 34.95]]","[['type=mxd', 33.08]]","[['type=mxd', 33.21]]","[['type=mxd', 33.35]]","[['type=mxd', 31.13]]","[['type=mxd', 30.78]]","[['type=mxd', 30.65]]","[['type=mxd', 30.59]]","[['type=mxd', 30.33]]","[['type=mxd', 22.44]]","[['type=mxd', 18.75]]","[['type=mxd', 18.21]]","[['type=mxd', 16.63]]","[['type=mxd', 13.72]]","[['type=mxd', 11.97]]","[['type=mxd', 10.88]]","[['type=mxd', 10.61]]","[['type=mxd', 10.18]]","[['type=mxd', 9.86]]","[['type=mxd', 9.45]]"
Oral Cavity,"[['type=se', 37.85]]","[['type=se', 37.85]]","[['type=se', 37.7]]","[['type=se', 37.69]]","[['type=se', 37.82]]","[['type=se', 38.02]]","[['type=se', 37.72]]","[['type=se', 38.38]]","[['type=se', 38.07]]","[['type=se', 38.07]]","[['type=se', 38.26]]","[['type=se', 38.52]]","[['type=se', 37.71]]","[['type=se', 38.1]]","[['type=se', 38.16]]","[['type=se', 37.79]]","[['type=se', 38.12]]","[['type=se', 37.94]]","[['type=se', 38.84]]","[['type=se', 38.76]]","[['type=se', 38.49]]","[['type=se', 39.75]]","[['type=se', 39.94]]","[['type=se', 39.99]]","[['type=se', 40.2]]","[['type=se', 40.33]]","[['type=se', 40.4]]","[['type=se', 40.45]]"
