,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Brain Stem,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Cord PRV,"[['type=se', 0.2]]","[['type=se', 0.2]]","[['type=se', 0.2]]","[['type=se', 0.14]]","[['type=se', 0.03]]","[['type=se', 0.15]]","[['type=se', 0.36]]","[['type=se', 0.18]]","[['type=se', 0.48]]","[['type=se', 0.46]]","[['type=se', 0.31]]","[['type=se', 0.42]]","[['type=se', 0.49]]","[['type=se', 0.53]]","[['type=se', 0.42]]","[['type=se', 0.61]]","[['type=se', 0.51]]","[['type=se', 0.61]]","[['type=se', 0.72]]","[['type=se', 0.62]]","[['type=se', 0.56]]","[['type=se', 0.58]]","[['type=se', 0.39]]","[['type=se', 0.6]]","[['type=se', 0.58]]","[['type=se', 0.67]]","[['type=se', 0.71]]","[['type=se', 0.65]]"
Esophagus,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.24]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.25]]","[['type=se', 0.25]]","[['type=se', 0.02]]","[['type=se', 0.3]]","[['type=se', 0.21]]","[['type=se', 0.26]]","[['type=se', 0.36]]"
Inner Ears,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Larynx,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.09]]","[['type=se', 0.0]]","[['type=se', 0.1]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.09]]","[['type=se', 0.22]]","[['type=se', 0.0]]","[['type=se', 0.1]]","[['type=se', 0.32]]","[['type=se', 0.3]]","[['type=se', 0.16]]","[['type=se', 0.41]]","[['type=se', 0.3]]","[['type=se', 0.31]]","[['type=se', 0.31]]"
Len L,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Len R,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
Mandible,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.45]]","[['type=se', 0.33]]","[['type=se', 0.39]]","[['type=se', 0.57]]","[['type=se', 0.22]]","[['type=se', 0.05]]","[['type=se', 0.53]]","[['type=se', 0.34]]","[['type=se', 0.33]]","[['type=se', 0.48]]"
Neck,"[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]","[['type=se', 0.0]]",,,,,,,,,,,,
Optic Chiasm,"[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]","[['type=mxd', 0.0]]"
