,iteration0,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27
Brain Stem,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Cord PRV,"[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.04]]","[['type=se', 0.03]]","[['type=se', 0.22]]","[['type=se', 0.21]]","[['type=se', 0.09]]","[['type=se', 0.29]]","[['type=se', 0.38]]","[['type=se', 0.53]]","[['type=se', 0.22]]","[['type=se', 0.98]]","[['type=se', 0.54]]","[['type=se', 0.51]]","[['type=se', 0.77]]","[['type=se', 0.56]]","[['type=se', 0.49]]","[['type=se', 0.47]]","[['type=se', 0.17]]","[['type=se', 0.72]]","[['type=se', 0.49]]","[['type=se', 1.68]]","[['type=se', 1.59]]","[['type=se', 0.55]]"
Esophagus,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.05]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.06]]","[['type=se', 0.06]]","[['type=se', 0.01]]","[['type=se', 0.08]]","[['type=se', 0.05]]","[['type=se', 0.07]]","[['type=se', 0.1]]"
Inner Ears,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Larynx,"[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.03]]","[['type=se', 0.04]]","[['type=se', 0.01]]","[['type=se', 0.03]]","[['type=se', 0.08]]","[['type=se', 0.09]]","[['type=se', 0.03]]","[['type=se', 0.16]]","[['type=se', 0.1]]","[['type=se', 0.1]]","[['type=se', 0.07]]"
Len L,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Len R,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
Mandible,"[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.18]]","[['type=se', 0.09]]","[['type=se', 0.15]]","[['type=se', 0.4]]","[['type=se', 0.05]]","[['type=se', 0.02]]","[['type=se', 0.37]]","[['type=se', 0.13]]","[['type=se', 0.11]]","[['type=se', 0.19]]"
Neck,"[['type=se', 0.02]]","[['type=se', 0.02]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]","[['type=se', 0.01]]",,,,,,,,,,,,
Optic Chiasm,"[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]","[['type=mxd', 0.01]]"
